,criterion,max_depth,min_samples_leaf,min_samples_split
NX1301,mae,3,9,0.7334713771499908
NX1302,mae,11,10,0.6482899278249662
NX1303,mae,10,10,0.21003755637580834
NX1304,mae,5,8,0.20961098830475533
NX1305,mae,7,10,0.661223720784022
NX1306,mae,20,6,0.7218198029962879
NX1307,mse,3,10,0.6672553418955126
NX1308,mae,19,9,0.5981225525967279
NX1309,mae,8,7,0.4926706738962786
NX1310,mse,8,5,0.9718703662867886
NX1311,mae,16,9,0.028216976319868598
NX1312,mae,3,5,0.2624995203293634
NX1313,mae,14,9,0.5725778283492996
NX1314,mae,16,7,0.8910084949831357
NX1315,mse,15,4,0.41317192384709783
NX1316,mae,19,10,0.5671749247036475
NX1317,mse,3,4,0.9870018369428828
NX1318,mae,7,8,0.5774380107844175
NX1319,mse,20,10,0.13070467012740178
NX1320,mae,11,6,0.45830658070506425
NX1321,mse,13,10,0.9351473617748124
NX1322,mse,18,8,0.8091171099540364
NX1323,mse,13,10,0.8643732566734348
NX1324,mae,2,5,0.6836350694433339
NX1325,mse,6,9,0.8391709707651215
NX1326,mse,2,1,0.2180053743610708
NX1327,mse,19,9,0.46532978276695636
NX1328,mse,6,2,0.9273285585544316
NX1329,mae,16,5,0.676679960271253
NX1330,mae,2,3,0.1950247502143623
NX1331,mae,12,10,0.9186795256242382
NX1332,mae,17,1,0.2773252891829398
NX1333,mae,15,6,0.015568139107241752
NX1334,mae,3,8,0.9870916526554738
NX1335,mae,8,9,0.6488575492935142
NX1336,mae,3,6,0.2159223576986884
NX1337,mse,8,10,0.5640991781086597
NX1338,mae,13,5,0.308940319404413
NX1339,mae,16,7,0.4138070510491021
NX1340,mse,16,1,0.8854242138208361
NX1341,mae,4,10,0.848884455982855
NX1342,mae,2,4,0.4121832399720149
NX1343,mse,4,8,0.9450874830422094
NX1344,mse,14,10,0.002855627253815163
NX1345,mae,6,3,0.9949964213350939
NX1346,mae,6,2,0.9180222491184528
NX1347,mae,12,10,0.9241061737595314
NX1348,mse,8,10,0.8197426312428204
NX1349,mse,15,2,0.6235236493517201
NX1350,mae,18,1,0.2986999635720756
NX1351,mae,17,1,0.9706624489443524
NX1352,mae,7,2,0.983349533329598
NX1353,mae,14,3,0.5718440200285433
NX1354,mse,11,3,0.03893865639717686
NX1355,mse,3,6,0.1852545975952361
NX1356,mae,8,10,0.006051548060905354
NX1357,mae,6,4,0.019455478774666524
NX1358,mae,8,7,0.9715775847818603
NX1359,mse,17,5,0.9495627439781196
NX1360,mae,13,4,0.7611860132464067
NX1361,mae,8,10,0.49360903691808977
NX1362,mae,15,10,0.7333832554133068
NX1363,mae,15,4,0.6578678333759154
NX1364,mse,3,10,0.4508142662253113
NX1365,mse,13,2,0.6388081023531205
NX1366,mae,19,10,0.039698126409134504
NX1367,mae,8,9,0.15526626934957766
NX1368,mse,9,4,0.0900621760504845
NX1369,mae,4,2,0.6758473260646645
NX1370,mae,2,3,0.06740901943799504
NX1371,mse,4,2,0.6658720222792006
NX1372,mae,12,8,0.8956188009147793
NX1373,mae,13,10,0.628705305683266
NX1374,mse,6,3,0.5813052065900386
NX1375,mse,13,4,0.23271838294043565
NX1376,mae,2,3,0.01014566466751421
NX1377,mae,12,8,0.2035356872563414
NX1378,mse,12,10,0.04417656060306496
NX1379,mae,14,10,0.05587969899549727
NX1380,mae,5,10,0.29715197564841067
NX1381,mse,8,9,0.5946905348592155
NX1382,mae,17,9,0.8452801774834536
NX1383,mae,5,5,0.6083321521770748
NX1384,mse,9,7,0.7395024861536853
NX1385,mse,5,5,0.8511889745355574
NX1386,mae,10,9,0.19336779282491823
NX1387,mae,20,9,0.210887617555769
NX1388,mae,17,2,0.4202776860609106
NX1389,mae,7,10,0.6458750073494068
NX1390,mae,6,10,0.18333605801572883
NX1391,mae,12,9,0.17451244951435874
NX1392,mae,4,2,0.6731429330935941
NX1393,mae,6,7,0.7355061279879181
NX1394,mae,8,6,0.9355776357872062
NX1395,mae,9,6,0.008164868293838778
NX1396,mse,7,8,0.2302938622256815
NX1397,mse,7,10,0.8392013668442245
NX1398,mae,4,1,0.8790713587394028
NX1399,mae,13,5,0.783389653151
NX1400,mse,7,10,0.32233705278953545
NX1401,mse,17,6,0.8656973866037672
NX1402,mae,12,5,0.6325256511959738
NX1403,mse,12,8,0.31793621886622914
NX1404,mae,13,5,0.4390139767230034
NX1405,mse,6,3,0.05903051124928871
NX1406,mae,14,5,0.17872938287903173
NX1407,mse,20,9,0.9798555942680895
NX1408,mae,11,9,0.19074053693613607
NX1409,mse,19,9,0.3699292688164073
NX1410,mae,8,7,0.14488582043860754
NX1411,mse,7,7,0.3289819733120811
NX1412,mse,2,1,0.9058523619876543
NX1413,mae,9,9,0.17463022452770316
NX1414,mae,8,8,0.0027229370022668897
NX1415,mse,16,4,0.4718084737955037
NX1416,mae,17,5,0.8225920236048792
NX1417,mae,5,1,0.7217678432868525
NX1418,mae,17,9,0.6090375156355032
NX1419,mae,6,9,0.6019699646023128
NX1420,mae,5,9,0.6581652311906675
NX1421,mae,9,5,0.40420000228484465
NX1422,mse,12,3,0.856863833960265
NX1423,mae,2,1,0.024499563709894923
NX1424,mse,17,2,0.7525435952357538
NX1425,mae,7,7,0.9431260849214413
NX1426,mae,20,2,0.9300773727475026
NX1427,mae,2,10,0.6523204321223999
NX1428,mae,5,7,0.426122168027951
NX1429,mae,17,7,0.8917347410008948
NX1430,mae,16,10,0.3654177570794582
NX1431,mse,20,3,0.6773429020631505
NX1432,mae,7,1,0.9504885314662704
NX1433,mse,4,5,0.0982461876965468
NX1434,mae,17,8,0.43844232907984193
NX1435,mse,13,3,0.9046275295256767
NX1436,mae,14,4,0.10269108974061081
NX1437,mae,3,6,0.6116599863684714
NX1438,mse,13,4,0.544038373214786
NX1439,mae,3,9,0.9971671734591123
NX1440,mae,5,10,0.29472284090673695
NX1441,mse,17,1,0.187505163677817
NX1442,mae,12,10,0.9264601116241837
NX1443,mae,3,7,0.39866051141107894
NX1444,mse,6,7,0.9902056905806973
NX1445,mae,9,5,0.5499253374286401
NX1446,mae,16,4,0.8055211553194064
NX1447,mse,12,4,0.9333036701506217
NX1448,mse,5,2,0.6719032290946544
NX1449,mae,2,1,0.6101226698792863
NX1450,mse,8,6,0.9928044421983392
NX1451,mse,13,7,0.9855934677970958
NX1452,mae,19,6,0.6995527465410849
NX1453,mse,15,1,0.8861130122642349
NX1454,mse,12,8,0.9516334930426753
NX1455,mae,12,2,0.9949347685293104
NX1456,mse,5,10,0.3196951017133137
NX1457,mae,11,9,0.23075831230960075
NX1458,mse,14,10,0.6257297013760901
NX1459,mse,15,10,0.18020569919075258
NX1460,mae,11,7,0.25390537649103684
NX1461,mae,9,10,0.6521131032831283
NX1462,mae,15,6,0.4913882239734282
NX1463,mse,2,10,0.05745030910977689
NX1464,mae,6,2,0.5439757445667716
NX1465,mae,8,3,0.6627892950714067
NX1466,mse,3,2,0.7758674197863116
NX1467,mae,5,1,0.2570953124030137
NX1468,mse,3,3,0.8374378741263059
NX1469,mse,3,1,0.831594140885925
NX1470,mse,16,3,0.6681746493640194
NX1471,mae,14,6,0.34954679365232155
NX1472,mae,16,7,0.1388282650049355
NX1473,mae,11,10,0.5446227908179148
NX1474,mae,13,9,0.34008044728977704
NX1475,mae,8,10,0.029747208144498716
NX1476,mae,19,9,0.48839057107673445
NX1477,mae,10,8,0.4790198011173684
NX1478,mae,16,10,0.9943825124302625
NX1479,mae,9,2,0.6872320762993098
NX1480,mse,20,9,0.2850199298597295
NX1481,mse,13,2,0.8172642197821838
NX1482,mse,12,8,0.03294899334810397
NX1483,mae,2,10,0.6356617937611412
NX1484,mse,5,8,0.1256894071157262
NX1485,mae,12,4,0.5641958345515592
NX1486,mse,12,9,0.998236275475947
NX1487,mse,17,10,0.36201645537415894
NX1488,mae,17,3,0.6222167460218294
NX1489,mae,17,3,0.3730060392232218
NX1490,mse,15,3,0.43387549044246854
NX1491,mae,15,6,0.6112823072617092
NX1492,mae,4,6,0.9289844866488284
NX1493,mse,18,9,0.003063590192321053
NX1494,mae,18,4,0.8692880373810956
NX1495,mae,12,1,0.7999229753437419
NX1496,mae,15,10,0.7675925088538785
NX1497,mse,10,10,0.7410323788992683
NX1498,mae,3,4,0.4438333114032139
NX1499,mae,15,9,0.07447640815089089
NX1500,mae,16,6,0.6024180390283307
